domain,dataset,frequency,horizon,tfm_zeroshot_mae,tfm_zeroshot_mse
energy,ETTh1,H,96,0.6282774371865355,0.9698307501575936
transport,PEMS03,5_minutes,96,0.2052592633565267,0.112757599123319
cloudops,alibaba_cluster_trace_2018,5_minutes,96,0.3420489170710246,9.439542549991607
energy,elecdemand,half_hourly,96,0.0621020243644714,0.0067222944776217
climate,oikolab_weather,hourly,96,0.580629780069987,0.6704303788503011
econfin,pedestrian_counts,hourly,96,0.1919416747411092,0.2321510803381602
nature,saugeenday,daily,96,0.5610525227705637,1.6075506125330925
healthcare,us_births,daily,96,0.3138283553461142,0.2043755688258099
energy,ETTh1,H,192,0.7107254109054646,1.357776783130787
transport,PEMS03,5_minutes,192,0.2205637840270996,0.1304332449038823
cloudops,alibaba_cluster_trace_2018,5_minutes,192,0.3590656671524048,6.433255261611938
energy,elecdemand,half_hourly,192,0.0625753581047058,0.0068769164741039
climate,oikolab_weather,hourly,192,0.6112749453226726,0.735416610399882
econfin,pedestrian_counts,hourly,192,0.2004505250930786,0.2975391299724579
nature,saugeenday,daily,192,0.6235814376195272,1.7743830128351847
healthcare,us_births,daily,192,0.355971674453126,0.2502867970381408
energy,ETTh1,H,336,0.7770842621626197,1.5949450526738471
transport,PEMS03,5_minutes,336,0.2342512355622791,0.1452161923181443
cloudops,alibaba_cluster_trace_2018,5_minutes,336,0.3761268431163969,7.8551959404355
energy,elecdemand,half_hourly,336,0.0614640493665422,0.0066398926871163
climate,oikolab_weather,hourly,336,0.664579680161249,0.8690979383922759
econfin,pedestrian_counts,hourly,336,0.2128771789550781,0.3027344961620512
nature,saugeenday,daily,336,0.604052356901623,1.593836820329939
healthcare,us_births,daily,336,0.3839436286088817,0.2825516686949397
energy,ETTh1,H,720,0.9188941879317314,2.124625880685993
transport,PEMS03,5_minutes,720,0.2705928212822808,0.1880825225490993
cloudops,alibaba_cluster_trace_2018,5_minutes,720,0.4474211773342556,17.817294876030815
energy,elecdemand,half_hourly,720,0.0633789401753743,0.0070062331846025
climate,oikolab_weather,hourly,720,0.7413471100531684,1.0641486283365886
econfin,pedestrian_counts,hourly,720,0.2386244909667969,0.4379167858886719
nature,saugeenday,daily,720,0.6147651215955946,1.634996408420139
healthcare,us_births,daily,720,0.4685392039638642,0.4311823275678517
